datetime,open,high,low,close
1998-8-4 10:00,40000,40000,40000,40000
1998-8-4 10:01,40000,40000,40000,40000
1998-8-4 10:02,40000,40000,40000,40000
1998-8-4 10:03,40000,40000,40000,40000
1998-8-4 10:04,40000,40000,40000,40000
1998-8-4 10:05,40000,40000,40000,40000
1998-8-4 10:06,40000,40000,40000,40000
1998-8-4 10:07,40000,40000,40000,40000
1998-8-4 10:08,40000,40000,40000,40000
1998-8-4 10:09,40000,40000,40000,40000
1998-8-4 10:10,40000,40000,40000,40000
1998-8-4 10:11,40000,40000,40000,40000
1998-8-4 10:12,40000,40000,40000,40000
1998-8-4 10:13,40000,40000,40000,40000
1998-8-4 10:14,40000,40000,40000,40000
1998-8-4 10:15,40000,40000,40000,40000
1998-8-4 10:16,40000,40000,40000,40000
1998-8-4 10:17,40000,40000,40000,40000
1998-8-4 10:18,40000,40000,40000,40000
1998-8-4 10:19,40000,40000,40000,40000
1998-8-4 10:20,40000,40000,40000,40000
1998-8-4 10:21,40000,40000,40000,40000
1998-8-4 10:22,40000,40000,40000,40000
1998-8-4 10:23,40000,40000,40000,40000
1998-8-4 10:24,40000,40000,40000,40000
1998-8-4 10:25,40000,40000,40000,40000
1998-8-4 10:26,40000,40000,40000,40000
1998-8-4 10:27,40000,40000,40000,40000
1998-8-4 10:28,40000,40000,40000,40000
1998-8-4 10:29,40000,40000,40000,40000
1998-8-4 10:30,40000,40000,40000,40000
1998-8-4 10:31,40000,40000,40000,40000
1998-8-4 10:32,40000,40000,40000,40000
1998-8-4 10:33,40000,40000,40000,40000
1998-8-4 10:34,40000,40000,40000,40000
1998-8-4 10:35,40000,40000,40000,40000
1998-8-4 10:36,40000,40000,40000,40000
1998-8-4 10:37,40000,40000,40000,40000
1998-8-4 10:38,40000,40000,40000,40000
1998-8-4 10:39,40000,40000,40000,40000
1998-8-4 10:40,40000,40000,40000,40000
1998-8-4 10:41,40000,40000,40000,40000
1998-8-4 10:42,40000,40000,40000,40000
